,model,best_score,test_accuracy,test_f1_macro,test_f1_weighted
0,logreg,0.8431889547360782,0.8863999955338829,0.8827624368906615,0.9123178801532476
1,svm,0.869812051474097,0.8832150594347234,0.8790503177479092,0.9133025643218163
2,rf,0.867516826619347,0.8785418199152417,0.8758963165943556,0.9068325800959735
3,mlp,0.8634794004906915,0.8896447171988987,0.8908134580211068,0.9176375648897099
