run,Selection_Threshold,VIF_Threshold,PCA_n_Components,colinearity_threshold,train_f1_macro,test_f1_macro,test_balanced_accuracy,test_f1_weighted,precision_weighted,recall_weighted
3,0.014,30,100,0.85,0.9965,0.9119,0.9114,0.9374,0.94,0.9363
1,0.014,25,40,0.75,0.9964,0.9097,0.9066,0.9319,0.9336,0.9317
2,0.014,25,40,0.75,0.9979,0.8973,0.8935,0.9234,0.9297,0.9238
3,0.014,25,40,0.75,0.9967,0.911,0.9095,0.9347,0.9363,0.934
1,0.014,25,40,0.8,0.9969,0.9069,0.9057,0.929,0.9312,0.9283
2,0.014,25,40,0.8,0.9974,0.8977,0.8945,0.9234,0.9295,0.9238
3,0.014,25,40,0.8,0.9966,0.9046,0.9038,0.9316,0.9336,0.9306
1,0.014,25,40,0.85,0.9969,0.9077,0.9068,0.93,0.932,0.9295
2,0.014,25,40,0.85,0.9974,0.8969,0.8945,0.9234,0.9296,0.9238
3,0.014,25,40,0.85,0.9966,0.9048,0.9053,0.9316,0.9335,0.9306
1,0.014,25,50,0.75,0.9964,0.9034,0.9016,0.9274,0.929,0.9272
2,0.014,25,50,0.75,0.9979,0.8942,0.8915,0.9213,0.9268,0.9215
3,0.014,25,50,0.75,0.9967,0.9144,0.9129,0.936,0.9379,0.9352
1,0.014,25,50,0.8,0.9969,0.9051,0.9035,0.9287,0.931,0.9283
2,0.014,25,50,0.8,0.9974,0.8976,0.8949,0.9235,0.9289,0.9238
3,0.014,25,50,0.8,0.9962,0.9068,0.9061,0.9327,0.9346,0.9317
1,0.014,25,50,0.85,0.9969,0.9022,0.9016,0.9265,0.9286,0.9261
2,0.014,25,50,0.85,0.9974,0.8985,0.8954,0.9245,0.9307,0.9249
3,0.014,25,50,0.85,0.9962,0.9052,0.9042,0.9316,0.9335,0.9306
1,0.014,25,60,0.75,0.9967,0.9041,0.9014,0.9284,0.9301,0.9283
2,0.014,25,60,0.75,0.9979,0.8935,0.8868,0.9204,0.9252,0.9204
3,0.014,25,60,0.75,0.997,0.9192,0.9182,0.9403,0.9419,0.9397
1,0.014,25,60,0.8,0.9964,0.8986,0.8964,0.9239,0.9264,0.9238
2,0.014,25,60,0.8,0.9977,0.8979,0.8928,0.9236,0.9288,0.9238
3,0.014,25,60,0.8,0.9962,0.9086,0.9072,0.9338,0.9358,0.9329
1,0.014,25,60,0.85,0.9969,0.8971,0.8962,0.9228,0.9249,0.9226
2,0.014,25,60,0.85,0.9977,0.8969,0.8928,0.9234,0.9296,0.9238
3,0.014,25,60,0.85,0.9962,0.9092,0.9074,0.935,0.9372,0.934
1,0.014,25,70,0.75,0.997,0.9151,0.9132,0.9347,0.9364,0.934
2,0.014,25,70,0.75,0.9981,0.8945,0.8888,0.9203,0.9255,0.9204
3,0.014,25,70,0.75,0.997,0.9158,0.914,0.937,0.9386,0.9363
