,experiment_number,Selection Threshold,VIFThreshold,PCA_n_Components,train_f1_macro,test_f1_macro,test_balanced_accuracy,test_f1_weighted,precision_weighted,recall_weighted
0,1,0.014,30,40,0.9551575754669425,0.8638382265368221,0.8693718459291457,0.8978920949893472,0.9019605653386273,0.8964732650739476
1,1,0.014,30,50,0.9641406109696953,0.8722170505113049,0.8760477553122515,0.9053998546040459,0.9080275217976155,0.9044368600682594
2,1,0.014,30,60,0.9699699557607698,0.8742353427182556,0.8769351532672934,0.905770690236827,0.9085963252046093,0.9044368600682594
3,1,0.014,30,70,0.9743803825295176,0.877647620945982,0.8811091626564267,0.9098197256937727,0.9120663259205346,0.9089874857792947
4,1,0.014,30,80,0.9804238894798586,0.8770254706930322,0.8816198685924477,0.9087859069245632,0.9123493954124687,0.9078498293515358
5,1,0.014,30,90,0.9824499023685294,0.8798394760353196,0.8836708349270642,0.9108005769747363,0.9139081322696916,0.9101251422070534
6,1,0.014,30,100,0.9846343165272422,0.8844692456409041,0.8876622421973165,0.9154225628659879,0.918106273625277,0.9146757679180887
7,1,0.014,25,40,0.9513648247090942,0.8648801725001356,0.8683682274154058,0.8985960385845816,0.9025455543443143,0.8976109215017065
8,1,0.014,25,50,0.9614006199546471,0.8649817837146989,0.8690818305008908,0.9001538471834828,0.9032931108950536,0.8987485779294653
9,1,0.014,25,60,0.9665945449544846,0.872328535034597,0.8767431096625052,0.9061084794592199,0.9087756520529741,0.9055745164960182
10,1,0.014,25,70,0.9767007944769251,0.8763168074514698,0.8789697376229386,0.9096962315554541,0.911966335398561,0.9089874857792947
11,1,0.014,25,80,0.9797845808921859,0.8791629318409198,0.8815591642534001,0.9118105532484054,0.9138336555936338,0.9112627986348123
12,1,0.014,25,90,0.9843842165203426,0.8788328634512589,0.8817104941966473,0.913064376583624,0.9158545928955678,0.9124004550625711
13,1,0.014,25,100,0.9860775566906964,0.8782079189722128,0.880900777597457,0.9118840188577553,0.9144909332941583,0.9112627986348123
14,1,0.014,20,40,0.9513317262144293,0.8740358765229919,0.8788734024316702,0.9065728368519894,0.9105483766502841,0.9055745164960182
15,1,0.014,20,50,0.9685006201384707,0.8769309535353469,0.8816734120869076,0.9080936674745423,0.9110194581961399,0.9078498293515358
16,1,0.014,20,60,0.9734963096347073,0.8730152092727667,0.8771928915339726,0.9064478106922401,0.9091810535581939,0.9055745164960182
17,1,0.014,20,70,0.9754622798734076,0.8728765785053022,0.8757412441484498,0.9075342941924694,0.9102716810263581,0.906712172923777
18,1,0.014,20,80,0.9820627502093997,0.8811080191343487,0.8829347290013904,0.91390583749442,0.9161966466864278,0.9135381114903299
19,1,0.014,20,90,0.9848156082047457,0.874849382564695,0.8780007893632144,0.9086819172984839,0.9113655666027983,0.9078498293515358
20,1,0.014,20,100,0.987981431230753,0.8859360730624342,0.8867020217811673,0.9170840308682866,0.9188679782890934,0.9169510807736063
21,1,0.014,15,40,0.9489137536336716,0.8591208876907643,0.8664413973512185,0.8967107388185893,0.9025966628382351,0.8953356086461889
22,1,0.014,15,50,0.9640487653220158,0.8721029111694756,0.8786895658493871,0.9050797710736183,0.9086392646289948,0.9044368600682594
23,1,0.014,15,60,0.9683240188370323,0.8812688711087092,0.8855819240900122,0.9110185537837112,0.9132711005346729,0.9101251422070534
24,1,0.014,15,70,0.9774535066793835,0.887655270085327,0.8919209966234168,0.9168618031119029,0.9193791275157349,0.9158134243458476
